message,spam/ham,hindi,marathi
InTrAinZ ( Certificate ID ) Certificate of internship is proudly presented to Rahul Sharma This is to certify that Mr. Rahul Sharma has successfully completed his internship in Machine Learning from 2/3/2022 to 2/5/2022. He/She performed very well and we found him/her to be keen and enthusiastic during the program. Signature Head of Operations,ham,InTrAinZ (प्रमाणपत्र आईडी) इंटर्नशिप का प्रमाण पत्र गर्व से प्रस्तुत किया गया है राहुल शर्मा यह प्रमाणित किया जाता है कि श्री राहुल शर्मा ने अपना कार्य सफलतापूर्वक पूरा कर लिया है 2/3/2022 से 2/5/2022 तक मशीन लर्निंग में इंटर्नशिप। वह वह बहुत अच्छा प्रदर्शन किया और हमने पाया कि वह उत्सुक और उत्साही है कार्यक्रम के दौरान. हस्ताक्षर आपरेशन का मु,InTrAinZ (प्रमाणपत्र आयडी) इंटर्नशिपचे प्रमाणपत्र यांना अभिमानाने सादर केले आहे राहुल शर्मा राहुल शर्मा यांनी यशस्वीरित्या पूर्ण केल्याचे हे प्रमाणित करण्यासाठी आहे 2/3/2022 ते 2/5/2022 पर्यंत मशीन लर्निंगमध्ये इंटर्नशिप. तो ती खूप चांगले प्रदर्शन केले आणि आम्हाला तो/ती उत्सुक आणि उत्साही असल्याचे आढळले कार्यक्रमादरम्यान. स्व
"Content- 1. Effective Communication COURSES ELIGIBLE FOR FIRST, SECOND, THIRD YEAR ENGINEERING Basic Presentation Skills 3. Teamwork 4. Problem-Solving 5. Adaptability ENGINEERING ELEVATE: NAVIGATING SOFT SKILLS, COMMUNICATION, AND SPOKEN ENGLISH FROM 6. Time Management 7. Critical Thinking 8. Leadership Fundamentals 9. Group Discussion 10. Interview 11. Interview Questions 12. Group Discussion Etiquette MR. SANR KITTUR (oWNER & FOUNDER) FRESHMAN TO GRADUATE COURSE ( CERTIFICATION WILL BE GIVEN ) Apti King Sanir Kittur Sir's Leading Campus Recruitment Training in Western Maharashtra 13. Conflict Resolution Basics 14. Interpersonal Skills 15. Decision-Making Essentials 16. Basic Networking 17. Introduction to Creativity 18. Stress Management Fundamentals 19. Professional Etiquette Basics 20. Grooming 22. Resume 21. Grooming & body language 23. Resume Building FOR MORE INFORMATION CONTACT- 24. Personality Development MR. SANIR KITTUR 9766337882 9561433516 FEES - 1000/ MR, SHRIKANT SUNDARAGIRI (KEYNOTE SPEAKER) DURATION 40 HOUR ONLINE ON ZOOM PLATFORM Apti King Sanir Kittur Sir's APTTECH ding Campus Reer Tra 9 Maharashtra",spam,"सामग्री- 1. प्रथम, द्वितीय, तृतीय वर्ष इंजीनियरिंग के लिए प्रभावी प्रभावी संचार पाठ्यक्रम, बुनियादी प्रस्तुति कौशल 3. टीम वर्क 4. समस्या-समाधान 5. अनुकूलन क्षमता इंजीनियरिंग उन्नयन: सॉफ्ट स्किल्स, संचार और बोली जाने वाली अंग्रेजी को नेविगेट करना 6. समय प्रबंधन 7. महत्वपूर्ण सोच 8. नेतृत्व के बुनियादी सिद्धांत 9. समूह चर्चा 10. साक्षात्कार 11. साक्षात्कार प्रश्न 12. समूह चर्चा शिष्टाचार एमआर। संर कित्तूर (मालिक)","सामग्री- 1. प्रभावी संप्रेषण अभ्यासक्रम प्रथम, द्वितीय, तृतीय वर्ष अभियांत्रिकी मूलभूत सादरीकरण कौशल्ये 3. टीमवर्क 4. समस्या सोडवणे 5. अनुकूलनक्षमता अभियांत्रिकी उन्नत: नॅव्हिगेशन, नॅव्हिगेशन, नॅव्हिगेशन, प्रशिक्षण ओएम 6. वेळ व्यवस्थापन 7. गंभीर विचार करणे 8. नेतृत्वाची मूलभूत तत्त्वे 9. गट चर्चा 10. मुलाखत 11. मुलाखतीचे प्रश्न 12. गटचर्चा शिष्टाचार MR. SANR कित्तूर (मालक"
"@app.route('/login', methods= [ ' post']) def login(): if request . method == post': name = request.form['name'] prn = request. form['prn'] class_ = request.form[' class'] email = request. form['email'] phone_no = request. form[' phone_no']",ham,"@app.route('/लॉगिन', विधियां= ['पोस्ट']) डीईएफ़ लॉगिन(): यदि अनुरोध। विधि == पोस्ट': नाम = अनुरोध.फॉर्म['नाम'] पीआरएन = अनुरोध। form['prn'] class_ = request.form[' class'] email = request. फॉर्म['ईमेल'] फ़ोन_नो = अनुरोध. फॉर्म['फ़ोन_नो']","@app.route('/login', methods= [ 'post']) def login(): विनंती असल्यास . पद्धत == पोस्ट': name = request.form['name'] prn = विनंती. form['prn'] class_ = request.form[' class'] ईमेल = विनंती. फॉर्म['ईमेल'] फोन_नो = विनंती. फॉर्म['फोन_नंबर']"
"Maharashtra, INDIA Tel, 91 7769001199, 9168781199 Fax 91 231 2638881 Email: infokitcoek.in Web: www.kitcoek.in KITICEK O1485 ACR NOTICE Only students from sC category whose parents have an annual income of two lakh fifty thousand for regular admission in the academic year 2023-24 is less than and the applications for Salakarita Swadhar Yojana 2023-24 have started for the students residing in the college or private hostel. However, Swadhar Yojana applications with documents dated 03/11/2023 before M",ham,"महाराष्ट्र, भारत दूरभाष, 91 7769001199, 9168781199 फैक्स 91 231 2638881 ईमेल: infokitcoek.in वेब: www.kitcoek.in KITICEK O1485 ACR नोटिस नियमित प्रवेश के लिए केवल एससी वर्ग के छात्र जिनके माता-पिता की वार्षिक आय दो लाख पचास हजार है। शैक्षणिक वर्ष 2023-24 से कम है और कॉलेज या निजी छात्रावास में रहने वाले छात्रों के लिए सलकारिता स्वाधार योजना 2023-24 के लिए आवेदन शुरू हो गए हैं। हालाँकि, स्वधार योजना के आवेदन दिनांक 03/11/2023 से पहले के दस्तावेजों के साथ","Maharashtra, INDIA Tel, +91 7769001199, 9168781199 Fax +91 231 2638881 Emall :infookitcoek.in Web: www.kitcoek.in KITICEK O1485 अक्र नोटीस शैक्षणिक वर्ष २०२३-२४ मध्ये नियमित प्रवेश घेतलेल्या फक्त sC प्रवर्गातील ज्या विद्याथ्थ्याच्या पालकांचे वार्षिक उत्पन्न दोन लाख पन्नास हजार पेक्षा कमी आहे व महाविद्यालयाचे अथवा खाजगी वसतीगृहात वास्तव्यास असणान्या विध्याथ्थ्यांसाठी २०२३-२४ सालाकारिता स्वाधार योजनेचे अर्ज भरण्यास सुरुवात झाली आहे. तरी स्वाधार योजनेचे अर्जे कागदपत्रासह दिनांक ०३/११/२०२३ पूर्वीं महाविद्यालयामध्ये जमा करावित. स्वाधार योजनेच्या अर्जसोबत खालीलप्रमाणे कागदफत्रे जोडावीत. तपशील जात प्रमाणपत्र व जात वेधता प्रमाणपत्र OF TECINOLOGY'S COLLEGE OF ENGIN EERING KOLHAPUR An Autonomous Institute Accredited 'A' Grade by NAAC with CGPA 3.12 अर्ज - महाविद्यालयाच्या आवारातील झेरॉक्स सेंटर म्ये उपलब्ध आहे. आधार संलग्नित असलेले बँक पास बुक 9 विद्यार्थी महाराष्ट्राचा रहिवासी असलेचा दाखला (तहसीलदार यांच्या सहीचा) 2)1•2023. 200CT 2023 वसतिगृहाम्ये राहत असलेबाबतचे प्रमाणपत्र, खाजगी वसतिगृहात वास्तव्यास असल्यास भाडे करार जोड़णे. Moy&nlho वड़िलांच्या नावाचा उत्पत्नाचा दाखला २.५००००/- च्या आतील. | (तहसीलदार यांच्या सहीचा) वृर्षाचे: गुण्पत्रक किमान ५০% गुण आवश्यक konblAi सचालक पत सर्व विभागप्रमुख यांनी सदरची नोटीस तात्काळ आपल्या विभास्मूतील सर्व विद्याथ्यांच्या निदर्शना"
"DreÇhat Sshath Joshi 11th October Jai Shri Ram Jai Hari Vithu Mauli Shubh Budhwau Jai Shri Krishna Rama's Conduct Krishna's Thought Hari's Utterance On Whose Arms Ram Kuhri Chikriyaduri Suresh Joji 18121081 Laik Maherach Scene, Laik Flute Tune Laik Agni Painjan, Who Has A Daughter Vy Nishibvan Mother Babina Beloved Of His Wife Kanyaila Atrayyali",spam,"द्रेÇहत षष्ठ जोशी 11 अक्टूबर जय श्री राम जय हरि विठू मौली शुभ बुधवौ जय श्री कृष्ण राम का आचरण कृष्ण का विचार हरि का कथन जिनकी भुजाओं पर राम कुहरी चिक्रियादुरी सुरेश जोजी 18121081 लाइक महेराच दृश्य, लाइक बांसुरी धुन लाइक अग्नि पेंजन, जिनकी एक बेटी है व्या निशिबवन मां बबीना उनकी पत्नी कन्याला अत्रेयली की प्रिय हैं","DreÇhat स्षथ जोशी ११ ऑक्टोबर जय श्रीराम जय हरी विठु माऊली शुभ बुधवाउ जय श्रीकृष्ण रामाचा आचार कृष्णाचा विचार हरीचा उच्चार ज्यांच्या अंगी त्यंच्यावर राम कु्ाहरी चीकृयादुरी सुरेश जोजी 18121081 लैक माहेराच सीन, लैक बासरीची धून लैक अगणी पैंजण, ज्याना मुलगी आहे व्या नशिबवान आई बाबीना वत्यांच्या लाडक्या कन्यैला अतरा्ययालि"
"ShareChat @dharmaraj waghade, Na.... Marathi pride of Marathi soil, Marathi pride of Marathi love... Today will bring a day like gold, happiness and prosperity in life... Dasshar:",spam,"ShareChat @धर्मराज वाघाड़े, ना.... मराठी माटी का मराठी गौरव, मराठी प्रेम का मराठी गौरव... आज का दिन जीवन में सोने जैसा सुख-समृद्धि लाएगा... दशर:","ShareChat @धर्मराज वाघाडे, न.... मराठी मातीची मराठी शान, मराठी प्रेमाचा मराठी मान... आज सोन्यासारखा दिवस घेऊन येईल आयुष्यात सर्वीच्या सुख आणि समृद्धी छान... दस्षर:"
"ShareChat sadhanay918 sadbangicdiar 2023 8166 vueypes sos Morning Vijayadashami Sca sadhana 9918 Aapkyahan sadhana 9918 Give him the shape of Hadaya, the bond of the heart, the bell of love for them, the joy of the moments of happiness, the wishes should be accepted on the occasion of Vijayadashami Sca sadhana 991 Happy Tuesday to you and your sweet family Vijayadashami Dasanya Mind: Purvak Best wishes to all. sadhana 9918 Sca sadhana 9918",spam,"शेयरचैट साधनाय918 सैडबंगिकडियार 2023 8166 वीयूईपीएस एसओएस प्रातः विजयादशमी एससी साधना 9918 आपकाहं साधना 9918 उन्हें हदया का रूप दो, हृदय का बंधन, उनके लिए प्रेम की घंटी, खुशी के क्षणों की खुशी, शुभकामनाएं स्वीकार की जानी चाहिए विजयादशमी का अवसर एससी साधना 991 आपको और आपके प्यारे परिवार को मंगलवार की शुभकामनाएँ विजयादशमी दासन्या मन: पूर्वक सभी को शुभकामनाएँ। साधना 9918 एससीए साधना 9918","ShareChat sadhanay918 sadbangicdiar 2023 8166 vueypes sos सकाळ विजयादशमी Sca sadhana 9918 आपक्यहान sadhana 9918 त्याला हदयाचा आकार, मनाचे बंध त्यांना प्रेमाची झंकार, आनंदाच्यां क्षणांना सविचा रूकार, विजयादशमीच्या निमित्ताने करावा शुभेच्छांचा स्वीकार Sca sadhana 991 शुभ मंगळवार तुम्हाला व तुमच्या गोड परिवारराला विजयादशमी दसन्याच्या मन:पुर्वक सर्वना हार्दिक शुभेच्छा. sadhana 9918 Sca sadhana 9918ख्छा"
"Sarvith is a good companion, his health is good... If her companionship is broken, Matan is a burden to every relation and live happily in his own way...",spam,"सर्विथ एक अच्छा साथी है, उसका स्वास्थ्य अच्छा है... अगर उसका साथ टूट गया, तो मटन हर रिश्ते पर बोझ है और अपने तरीके से खुशी से रहता है...","सरवीत चांगली सहकारी, त्याची प्रकृती आहे... तिची साथ मुटली तर मात्न त प्रत्येक नात्यास्ाठी ओोझे हीत म्हणून आपिल्या प्रकूतीकड़े व सुखाने जगा..."
"Bhadra and Subhadra Shah, listen. If you are looking ugly on the day of Rakshabandhan, can't you tie Rakhi? please tell. Issued in public interest: Do not confuse your mind with things about which you know nothing, neither with any parrot-printer nor with any Rattu almanac! Let me tell you the secret! enjoy! For the rest of your life, whenever you want to do Bhadra Parihar, first keep a thread near Lord Krishna! Shani's sister Bhadra transforms into Subhadra.",spam,भद्रा और सुभद्रा शाह सुनो ना॥ रक्षाबंधन वाले दिन भद्ा लग रही है तो क्या राखी नही बांध सकते? कृपया बताये। जनहित में जारी मत उलझाओ अपने दिमाग मे न बातों के लिए जिनका तुम्हे कुछ न पता न किसी तोता छाप शास्त्री को न किसी रट्टू पंचांगी को ! रहस्य बता देता हूँ! मजे करो! जिंदगी भर के लिए तो जब भी भद्रा परिहार करना हो एक धागा पहले कृष्ण जी के पास रख देना! शनि की बहन भद्रा सुभद्रा में बदल जाती ह,"भद्रा आणि सुभद्रा शहा, ऐका. रक्षाबंधनाच्या दिवशी तुम्ही कुरूप दिसत असाल तर राखी बांधता येत नाही का? कृपया सांगा. सार्वजनिक हितासाठी जारी: ज्या गोष्टींबद्दल तुम्हाला काहीही माहिती नाही, कोणत्याही पोपट-मुद्रकाने किंवा कोणत्याही रत्तू पंचांगात, तुमच्या मनात गोंधळ घालू नका! मी तुला गुपित सांगतो! आनंद घ्या! आयुष्यभर, जेव्हा केव्हा तुम्हाला भद्रा परिहार करायचा असेल तेव्हा प्रथम भगवान श्रीकृष्णाजवळ एक धागा ठेवा! शनीची बहीण भद्राचे रूपांतर सुभद्रात होते."
"Shubham Trades & Construction Seperate Bungalow for Sale, Kalba. Features Your dream home within your budget! Debut your very own building on auspicious occasion! 7249874057 INDEPENDENT 7/120 LIGHT, WATER, ROADS ALL FACILITIES APPOINTED INDEPENDENT BOREWELL LOAN FACILITY 0TRANSPARENT TRANSACTION BOOKINGATI",spam,"शुभम ट्रेड्स एंड कंस्ट्रक्शन बिक्री के लिए अलग बंगला, कालबा। विशेषताएं आपके सपनों का घर आपके बजट में! शुभ अवसर पर अपने स्वयं के भवन का शुभारंभ करें! 7249874057 स्वतंत्र 7/120 रोशनी, पानी, सड़क सभी सुविधाएं नियुक्त स्वतंत्र बोरवेल ऋण सुविधा 0पारदर्शी लेनदेन बुकिंगएटीआई","शुभम ट्रेडस & कन्स्ट्रक्शन सेप्रेट बंगलो विकणे आहे कंळबा. वैशिष्टये तुमच्या स्वप्नातील घर तुमच्या बजेटमध्ये! शुभ मुहृर्तावर करा पदार्पण तुमच्या स्वतः च्या वास्तूत! 7249874057 स्वतंत्र ७/१२० लाईट, पाणी, रस्ते सर्व सोयीनियुक्त स्वतंत्र बोरवेल लोनची सोय ०पारदर्शक व्यवहार बुकींगाती"
"#Awareness Fraud Alert Don't fall for this ladies! The number I got this call from is now coming out of service so no use of posting it. Just beware of this new fraud. !! Fraud Alert!G!! So This Just Happened With Me! I had a return on Amazon. I returned my parcel and right after the return I got an automated call from 'Blue Dart' saying my return is complete. They asked me to collect the refund from their office in Mumbai or press 9 to talk to customner care. I thought its genuine since l had just returned the parcel so I dialed 9. The guy talked very nicely at first and asked my full name. l am in Bangalore and parcel was returned from my hometown. Thankfully I didn't give any address. Then suddenly he said that a parcel has been sent using my aadhar card details to Malaysia and drugs are found in it. So he said I will connect you to the police officer for enquiry and investigation. Thankfully I had read about this fraud and said I am not going to fall for your fraud. So suddenly his tone changed and he abused me left and right with most horrendous abuses and said fraud tere saath nahi toh mere baap ke saath karu kya? l am really shocked, shaken and scared now. Hopefully he won't hack my data. Ireported it to Amazon, they said your data is safe. I think it's coincidence because people have gotten such calls without an Amazon return. Attaching the fraud number I got a call from. Just posting to be aware of such frauds. Take care! Stay Blessed!",spam,"#जागरूकता धोखाधड़ी चेतावनी महिलाओं, इसके झांसे में न आएं! जिस नंबर से मुझे यह कॉल आया वह अब सेवा से बाहर आ रहा है इसलिए इसे पोस्ट करने का कोई फायदा नहीं है। बस इस नए धोखे से सावधान रहें. !! धोखाधड़ी चेतावनी!जी!! तो यह मेरे साथ ही हुआ! मुझे अमेज़ॅन पर रिटर्न मिला था। मैंने अपना पार्सल लौटा दिया और वापसी के तुरंत बाद मुझे 'ब्लू डार्ट' से एक स्वचालित कॉल मिली जिसमें कहा गया कि मेरी वापसी पूरी हो गई है। उन्होंने मुझसे मुंबई में अपने कार्यालय से रिफंड लेने या कस्टमर केयर से बात करने के लिए 9 दबाने को कहा। मैंने सोचा कि यह असली है क्योंकि मैंने अभी-अभी पार्सल लौटाया था इसलिए मैंने 9 डायल किया। उस आदमी ने पहले तो बहुत अच्छी तरह से बात की और मेरा पूरा नाम पूछा। मैं बेंगलुरु में हूं और पार्सल मेरे गृहनगर से लौटा दिया गया था। शुक्र है मैंने कोई पता नहीं बताया. फिर अचानक उसने कहा कि मेरे आधार कार्ड की डिटेल का इस्तेमाल कर मलेशिया में एक पार्सल भेजा गया है और उसमें ड्रग्स मिला है. तो उन्होंने कहा कि मैं तुम्हें पूछताछ और जांच के लिए पुलिस अधिकारी से मिलवाऊंगा. शुक्र है कि मैंने इस धोखाधड़ी के बारे में पढ़ लिया था और कहा कि मैं आपकी धोखाधड़ी में नहीं फंसूंगा। तो अचानक उनका लहजा बदल गया और उन्होंने मुझे दांयी-बांयी सबसे भद्दी-भद्दी गालियां दीं और कहा कि फ्रॉड तेरे साथ नहीं तो मेरे बाप के साथ करु क्या? मैं अब सचमुच हैरान, सहमा हुआ और डरा हुआ हूं। उम्मीद है कि वह मेरा डेटा हैक नहीं करेगा. मैंने इसकी सूचना अमेज़न को दी तो उन्होंने कहा कि आपका डेटा सुरक्षित है। मुझे लगता है कि यह संयोग है क्योंकि लोगों को बिना अमेज़न रिटर्न के ऐसी कॉलें मिली हैं। जिस फ्रॉड नंबर से मुझे कॉल आया था, उसे अटैच कर रहा हूं। बस ऐसी धोखाधड़ी से सावधान रहने के लिए पोस्ट कर रहा हूं। अपना ध्यान रखना! खुश रहो!","# जागरूकता फसवणूक अलर्ट या महिलांना बळी पडू नका! मला ज्या क्रमांकावरून हा कॉल आला होता तो आता सेवाबाह्य होत आहे त्यामुळे तो पोस्ट करून उपयोग नाही. फक्त या नवीन फसवणुकीपासून सावध रहा. !! फसवणूक अलर्ट!जी!! सो धिस जस्ट हॅपन्ड विथ मी! मी Amazon वर परत आले होते. मी माझे पार्सल परत केले आणि परत आल्यानंतर मला 'ब्लू डार्ट' कडून एक स्वयंचलित कॉल आला की माझे परत येणे पूर्ण झाले आहे. त्यांनी मला त्यांच्या मुंबईतील कार्यालयातून परतावा गोळा करण्यास सांगितले किंवा कस्टमर केअरशी बोलण्यासाठी 9 दाबा. मला ते खरे वाटले कारण मी नुकतेच पार्सल परत केले होते म्हणून मी 9 डायल केला. तो माणूस सुरुवातीला खूप छान बोलला आणि माझे पूर्ण नाव विचारले. मी बंगलोरमध्ये आहे आणि पार्सल माझ्या गावी परत आले होते. सुदैवाने मी कोणताही पत्ता दिला नाही. त्यानंतर अचानक तो म्हणाला की, माझ्या आधार कार्डचा तपशील वापरून मलेशियाला एक पार्सल पाठवले आहे आणि त्यात ड्रग्ज सापडले आहेत. त्यामुळे चौकशी आणि तपासासाठी मी तुला पोलीस अधिकाऱ्याशी जोडतो असे तो म्हणाला. कृतज्ञतापूर्वक मी या फसवणुकीबद्दल वाचले होते आणि म्हणालो की मी तुमच्या फसवणुकीला बळी पडणार नाही. त्यामुळे अचानक त्याचा सूर बदलला आणि त्याने मला डावीकडे आणि उजवीकडे अत्यंत भयानक शिव्या दिल्या आणि म्हणाला फसवणूक तेरे साथ नहीं तो मेरे बाप के साथ करू क्या? मला आता खरोखरच धक्का बसला आहे, हादरलो आहे आणि घाबरलो आहे. आशा आहे की तो माझा डेटा हॅक करणार नाही. Amazon ला याची तक्रार केली, त्यांनी तुमचा डेटा सुरक्षित असल्याचे सांगितले. मला वाटते की हा योगायोग आहे कारण लोकांना Amazon रिटर्नशिवाय असे कॉल आले आहेत. फसवणूकीचा क्रमांक जोडताना मला फोन आला. अशा फसवणुकीपासून सावध राहण्यासाठी पोस्ट करत आहे. काळजी घ्या! धन्य राहा!"
"Please forward it to all friends Information has been given by Hyderabad Police all over India. Please do not drink any cold drink like Maaza, Fanta, 7 Up, Coca Cola, Mountain Deo, Pepsi, etc. for the next few days because one of the company's workers has mixed the contaminated blood of dangerous virus named Ebola in it. This news was told in NDTV channcl yesterday. Please help by forwarding this message as soon as possible. Forward this message to your family. Share this as much as you can o7:12 Thank you.,",spam,"कृपया इसे सभी मित्रों को अग्रेषित करें सूचना पूरे भारत में हैदराबाद पुलिस द्वारा दी गई है। कृपया अगले कुछ दिनों तक कोई भी कोल्ड ड्रिंक जैसे माज़ा, फैंटा, 7 अप, कोका कोला, माउंटेन डियो, पेप्सी आदि न पियें क्योंकि कंपनी के किसी कर्मचारी ने इसमें इबोला नाम के खतरनाक वायरस का दूषित खून मिला दिया है। ये खबर कल एनडीटीवी चैनल में बताई गई. कृपया इस संदेश को यथाशीघ्र अग्रेषित कर सहायता करें। इस संदेश को अपने परिवार तक अग्रेषित करें। इसे जितना हो सके शेयर करें o7:12 धन्यवाद.,","कृपया ते सर्व मित्रांना फॉरवर्ड करा संपूर्ण भारतभर हैदराबाद पोलिसांनी माहिती दिली आहे. कृपया पुढील काही दिवस Maaza, Fanta, 7 Up, Coca Cola, Mountain Deo, Pepsi इत्यादी कोणतेही थंड पेय पिऊ नका कारण कंपनीच्या एका कामगाराने त्यात इबोला नावाच्या धोकादायक विषाणूचे दूषित रक्त मिसळले आहे. काल NDTV चॅनलने ही बातमी दिली. कृपया हा मेसेज लवकरात लवकर फॉरवर्ड करून मदत करा. हा मेसेज तुमच्या कुटुंबाला फॉरवर्ड करा. हे जास्तीत जास्त शेअर करा o7:12 धन्यवाद.,"
"TATA TECHNOLOGIESD TATA Eligibility criteria Tata Technologies InnoVent is open to all Diploma, B.E., B.Tech. and Dual Degree final year, pre-final year engineering students in India. All one needs is a passion for engineering and innovation",ham,"टाटा टेक्नोलॉजीज टाटा पात्रता मानदंड टाटा टेक्नोलॉजीज इनोवेंट सभी डिप्लोमा, बी.ई., बी.टेक. के लिए खुला है। और भारत में दोहरी डिग्री अंतिम वर्ष, प्री-फाइनल वर्ष के इंजीनियरिंग छात्र। हर किसी को इंजीनियरिंग और इनोवेशन के प्रति जुनून की जरूरत होती है","TATA TECHNOLOGIESD TATA पात्रता निकष Tata Technologies InnoVent सर्व डिप्लोमा, B.E., B.Tech साठी खुला आहे. आणि दुहेरी पदवी अंतिम वर्ष, भारतातील प्री-फायनल इयर इंजिनिअरिंगचे विद्यार्थी. अभियांत्रिकी आणि नवनिर्मितीची आवड असणे आवश्यक आहे"
Program Branch SY SY SY SY SY SY |AIML |AIML |AIML |AIML |AIML |AIML PRN |2122000656 2122000712 |2122000746 |2122000767 |2223000735 |2223000832 Name Vaishnavi Rajesh Mane Shewale Jeevan Arvind |Yugandhar Ashok Patil Viraj Pradip Patil Mohad faijan javedkhan pathan |Om Tejas Shah,ham,कार्यक्रम शाखा SY SY SY SY SY SY |AIML |AIML |AIML |AIML |AIML |AIML PRN |2122000656 2122000712 |2122000746 |2122000767 |2223000735 |2223000832 नाम वैष्णवी राजेश माने शेवाले जीवन अरविंद |युगांधर अशोक पाटिल विराज प्रद आईपी पाटिल मोहद फैजान जावेदखान पठान |ओम तेजस शाह,कार्यक्रम शाखा SY SY SY SY SY SY |AIML |AIML |AIML |AIML |AIML |AIML PRN |2122000656 2122000712 |2122000746 |2122000767 |2223000735 |2223000735 |2223000735 |2223000735 |2223000735 | |युगंधर अशोक पाटील विराज प्रदिप पाटील मोहड फैजान जावेदखान पठाण |ओम तेजस शाह
